Rank,Entity,Type,Score,WhyThem,SuggestedContacts,PrimaryAngles,WarmIntroNeeded,NextActions,ResearchFixes,Status
1,NAS Neuron Health Services,TPA,19,"Largest TPA; clear COO/CTO/CMO; multi-insurer leverage","Imran Ahmed (Group CEO); Dr. Ganesh Rajamani (COO); Craig Hughes (CTO); Dr. Ahmed Al Tabbakh (CMO)","Ops-led PoC (<6s; <$0.10/case); security brief; XML fit",No,"Outbound to COO/CTO; propose 6–8 week pilot; define KPIs","Confirm current titles for Rajamani/Hughes/Al Tabbakh",Outreached
2,Nextcare (Allianz Partners),TPA,18,"Major market share; corporate standards; dual local/global buy-in","UAE General Manager (TBD); Head of Operations UAE (TBD); Group Tech/Innovation (Allianz Partners – TBD)","UAE-only pilot with group visibility; align data/security",Yes,"Request warm intro; identify UAE GM & Ops leads; propose pilot","Identify current UAE GM and Ops head; map Allianz tech governance",Outreached
3,MedNet (Munich Re),TPA,18,"Strong governance; new leadership; UAE Ops clarity","Daniel Whitehead (CEO MENA); Serge Alves (Head of Ops UAE & Oman); Axel Tettenborn (Head Ops MEA/APAC); Mona Attallah (Medical Manager UAE)","Ops efficiency; denial reduction; backtest-first",No,"Propose ops-led pilot; schedule discovery; align KPIs","Verify current titles for Whitehead/Alves/Tettenborn/Attallah",Outreached
4,Daman (National Health Insurance Company),Insurer,18,"Market leader; PureHealth-linked; high impact; slower approvals","Dr. Mostafa Shaheen (Chief Medical Officer); COO (TBD); CTO (TBD)","Retrospective clinical backtest; compliance; UAE residency",Yes,"Seek warm intro via PureHealth/CMO office; start with backtest","Identify current COO/CTO; confirm CMO title",Outreached
5,ADNIC (Abu Dhabi National Insurance Co.),Insurer,18,"Clear Ops+Tech ownership; strong claims focus; pilot-ready","Amardeep Ahluwalia (EVP Chief Operational Services & Technology); Hema Padmanabhan (EVP Chief Claims); Stefano Nalin (EVP CBDO)","Unified Ops+Tech pilot; claims KPIs; ROI summary",No,"Intro to EVP Ops&Tech; propose 6–8 week PoC; set success metrics","Confirm spellings/titles for Ahluwalia/Padmanabhan/Nalin",Outreached
6,Dubai Insurance Company (DIN),Insurer,17,"Fast-growing; top-down CEO route; need healthcare lead","Abdellatif Abuqurah (CEO); Head of Medical (TBD)","PA turnaround + denial reduction; small-scope PoC",No,"Ask CEO office for intro to Head of Medical; propose PoC","Identify Head of Medical; verify CEO title/spelling"
7,Orient Insurance,Insurer,16,"Large commercial book; TPA partnerships; impactful pilot","Head of Operations/Claims (TBD); IT Lead (TBD)","<6s turnaround; denial reduction; SLA gains",No,"Map owner via LinkedIn; outreach with KPI brief","Identify Ops/Claims + IT owners"
8,Sukoon (Oman Insurance),Insurer,16,"Mature operations; openness to innovation; strong clients","Head of Health Ops (TBD); IT Lead (TBD)","Security/hosting brief; ops efficiency pilot",No,"Identify owners; propose PoC with clear KPIs","Confirm current owners"
9,Almadallah Healthcare Management,TPA,16,"Strong Dubai footprint; provider network depth","COO/Head of Operations (TBD); IT Lead (TBD)","Ops-led pilot; 6–8 weeks; metrics-led",No,"Identify Ops lead; share brief; propose scope","Identify Ops/IT owners"
10,Aafiya Medical Billing,TPA,16,"Fast-moving; provider relations; pilot-friendly","COO/Head of Operations (TBD); IT Lead (TBD)","ROI-first pitch; limited-scope pilot (1–2 providers)",No,"Outbound to Ops; book discovery; align KPIs","Identify Ops/IT owners"
11,Emirates Insurance Company,Insurer,15,"Established payer; provider network; needs intro","Head of Health/Medical (TBD); Ops Lead (TBD)","Backtest-first; define concordance metrics",No,"Map decision unit; propose retrospective test","Identify Health/Medical owner"
12,Union Insurance,Insurer,15,"Corporate medical; efficiency-driven; pilot feasible","Head of Claims (TBD); IT Lead (TBD)","Denial-rate reduction; SLA targets",No,"Outreach to Claims; propose KPIs; schedule demo","Identify Claims/IT owners"
13,MaxCare,TPA,15,"Broad network; automation appetite","COO (TBD); IT Lead (TBD)","XML fit; security; SLA gains",No,"Share brief; request discovery call","Identify Ops/IT owners"
14,PentaCare,TPA,15,"Corporate clients; ops-focused gains","COO/Head of Ops (TBD); IT Lead (TBD)","SLA gains + denial reduction",No,"Position KPI framework; propose PoC","Identify Ops/IT owners"
15,FMC Network UAE,TPA,15,"Longstanding operations; process scale","COO/Head of Ops (TBD); IT Lead (TBD)","Retrospective backtest on past cases",No,"Suggest data sample; align metrics","Identify Ops/IT owners"
