Source Format,Source Field Path,FHIR Resource,FHIR Field Path,Nazmito Extension,Data Type,Required,Notes
eClaimLink 2019/11,Header.SenderID,Claim,identifier[type=sender].value,,string,Yes,Provider/facility ID sending the request
eClaimLink 2019/11,Header.ReceiverID,Claim,identifier[type=receiver].value,,string,Yes,Payer/TPA ID receiving the request
eClaimLink 2019/11,Header.TransactionDateTime,Claim,created,,dateTime,Yes,When the request was created
eClaimLink 2019/11,Header.TransactionID,Claim,identifier[type=transaction].value,,string,Yes,Unique transaction identifier
eClaimLink 2019/11,JustificationText,Claim,supportingInfo[category=justification].valueString,,string,No,Clinical justification text
eClaimLink 2019/11,ServiceRequest.ActivityCode,Claim.item,productOrService.coding[system=CPT].code,,code,Yes,CPT procedure code
eClaimLink 2019/11,ServiceRequest.DiagnosisCode,Claim.diagnosis,diagnosisCodeableConcept.coding[system=ICD10].code,,code,Yes,ICD-10 diagnosis code
eClaimLink 2019/11,ServiceRequest.ActivityDateTime,Claim.item,servicedDate,,date,Yes,Date of service
eClaimLink 2019/11,ServiceRequest.ActivityInstructions,Claim.item,supportingInfo[category=instructions].valueString,,string,No,Special instructions
eClaimLink 2019/11,ServiceRequest.RequestedAmount,Claim.item,unitPrice.value,,decimal,Yes,Requested amount
eClaimLink 2019/11,ServiceRequest.RequestedAmount.@currency,Claim.item,unitPrice.currency,,code,Yes,Currency code (AED)
Shafafiya 2011,Header.SenderID,Claim,identifier[type=sender].value,,string,Yes,Provider ID
Shafafiya 2011,Header.ReceiverID,Claim,identifier[type=receiver].value,,string,Yes,Payer ID
Shafafiya 2011,Header.TransactionDate,Claim,created,,dateTime,Yes,Transaction date/time
Shafafiya 2011,Header.RecordCount,Claim,extension[url=recordCount].valueInteger,Yes,integer,Yes,Number of records in batch
Shafafiya 2011,Header.DispositionFlag,Claim,extension[url=dispositionFlag].valueString,Yes,string,Yes,TEST/PRODUCTION flag
Shafafiya 2011,Authorization.Result,ClaimResponse,outcome,,code,Yes,Approval result (Yes/No)
Shafafiya 2011,Authorization.ID,Claim,identifier[type=authorization].value,,string,Yes,Authorization ID
Shafafiya 2011,Authorization.Start,Claim,billablePeriod.start,,dateTime,Yes,Authorization start date
Shafafiya 2011,Authorization.End,Claim,billablePeriod.end,,dateTime,Yes,Authorization end date
Shafafiya 2011,Authorization.Comments,Claim,supportingInfo[category=comments].valueString,,string,No,Authorization comments/justification
Shafafiya 2011,Activity.ID,Claim.item,sequence,,positiveInt,Yes,Line item sequence number
Shafafiya 2011,Activity.Type,Claim.item,extension[url=activityType].valueInteger,Yes,integer,Yes,Activity type code (3=CPT)
Shafafiya 2011,Activity.Code,Claim.item,productOrService.coding[system=CPT].code,,code,Yes,Service/procedure code
Shafafiya 2011,Activity.Quantity,Claim.item,quantity.value,,decimal,Yes,Service quantity
Shafafiya 2011,Activity.Net,Claim.item,net.value,,decimal,Yes,Net amount
Shafafiya 2011,Activity.PaymentAmount,Claim.item,adjudication[category=benefit].amount.value,,decimal,Yes,Approved payment amount
Shafafiya 2011,Activity.DenialCode,Claim.item,adjudication[category=denied].reason.coding.code,,code,No,Denial reason code
Common,-,Claim,patient,,Reference,Yes,Reference to patient resource
Common,-,Claim,provider,,Reference,Yes,Reference to provider/organization
Common,-,Claim,insurance,,BackboneElement,Yes,Insurance coverage information
Common,-,Claim,type.coding[system=claim-type].code,,code,Yes,preauthorization/claim/predetermination
Common,-,Claim,status,,code,Yes,active/cancelled/draft/entered-in-error
Common,-,Claim,use,,code,Yes,claim/preauthorization/predetermination
Common,-,ServiceRequest,status,,code,Yes,Status of the service request
Common,-,ServiceRequest,intent,,code,Yes,proposal/plan/order
Common,-,ServiceRequest,code,,CodeableConcept,Yes,What is being requested
Common,-,ServiceRequest,subject,,Reference,Yes,Patient reference
Common,-,ServiceRequest,authoredOn,,dateTime,Yes,When request was created
Common,-,ServiceRequest,requester,,Reference,Yes,Who is requesting
Common,-,ServiceRequest,reasonCode,,CodeableConcept,No,Why service is needed
Common,-,ServiceRequest,insurance,,Reference,No,Associated insurance coverage
Nazmito Extension,-,Claim,extension[url=https://nazmito.com/fhir/StructureDefinition/gap-flags],Yes,BackboneElement,No,Quality gaps identified
Nazmito Extension,-,Claim,extension[url=https://nazmito.com/fhir/StructureDefinition/enrichment-score],Yes,decimal,No,Data quality/enrichment score
Nazmito Extension,-,Claim,extension[url=https://nazmito.com/fhir/StructureDefinition/ai-confidence],Yes,decimal,No,AI/ML confidence score
Nazmito Extension,-,Claim,extension[url=https://nazmito.com/fhir/StructureDefinition/incentive-eligible],Yes,boolean,No,Eligible for value-based incentives
